ID,Name,Age,City,Salary,JoinDate
1,Name_1,20.0,City_0,104509.45,2020-11-02
2,Name_2,21.0,City_1,53401.42,2021-05-10
3,Name_3,22.0,City_2,118291.15,2022-02-01
4,,23.0,City_3,60119.26,unknown
5,Name_5,24.0,City_4,111892.54,2021-12-09
6,Name_6,25.0,City_5,74848.55,2022-03-24
7,Name_7,26.0,City_6,66317.7,2020-05-16
8,Name_8,27.0,City_7,40386.83,2021-11-09
9,Name_9,28.0,City_8,110659.22,2022-05-16
10,Name_10,29.0,City_9,37737.12,2020-05-05
11,Name_11,30.0,City_10,43588.53,2021-02-19
12,Name_12,31.0,City_11,53363.51,2022-04-10
13,Name_13,32.0,City_12,N/A,2020-08-08
14,Name_14,33.0,City_13,32191.54,2021-06-26
15,Name_15,,City_14,105708.89,2022-05-03
16,Name_16,35.0,City_15,34295.96,2020-04-09
17,Name_17,36.0,City_16,45687.23,2021-02-05
18,Name_18,,City_17,47394.0,unknown
19,Name_19,38.0,City_18,77662.37,2020-11-28
20,Name_20,39.0,City_19,89617.18,2021-02-03
21,Name_21,40.0,City_20,117299.46,2022-05-05
22,Name_22,41.0,City_21,49980.04,2020-12-01
23,Name_23,42.0,City_22,N/A,2021-06-06
24,Name_24,43.0,City_23,94063.07,2022-04-07
25,Name_25,44.0,City_24,111681.98,2020-08-03
26,Name_26,45.0,City_25,47344.33,2021-01-03
27,Name_27,46.0,City_26,90139.32,unknown
28,Name_28,47.0,City_27,91386.14,2020-06-02
29,Name_29,48.0,City_28,64611.28,2021-10-13
30,Name_30,49.0,City_29,105264.11,2022-01-22
31,Name_31,50.0,City_30,97871.29,2020-07-23
32,Name_32,51.0,City_31,51299.25,unknown
33,Name_33,52.0,City_32,94517.06,unknown
34,,53.0,City_33,81423.19,unknown
35,Name_35,54.0,City_34,61782.67,2021-11-21
36,,,City_35,56847.45,2022-06-10
37,Name_37,,City_36,N/A,2020-12-11
38,,57.0,City_37,102395.23,2021-10-28
39,Name_39,58.0,City_38,79061.12,2022-10-19
40,Name_40,59.0,City_39,44623.76,2020-07-07
41,Name_41,60.0,City_40,41916.69,unknown
42,Name_42,61.0,City_41,77236.41,2022-08-27
43,,62.0,City_42,58180.57,2020-04-24
44,Name_44,63.0,City_43,85112.82,unknown
45,Name_45,64.0,City_44,93311.33,2022-03-19
46,Name_46,65.0,City_45,108017.96,2020-12-01
47,Name_47,66.0,City_46,101947.63,2021-01-20
48,Name_48,67.0,City_47,N/A,2022-04-03
49,Name_49,68.0,City_48,34233.61,2020-04-15
50,Name_50,69.0,City_49,N/A,2021-03-01
51,Name_51,,City_50,74495.37,2022-04-23
52,Name_52,21.0,City_51,57047.12,2020-08-01
53,Name_53,22.0,City_52,92110.85,2021-01-28
54,Name_54,23.0,City_53,48799.92,2022-01-10
55,Name_55,24.0,City_54,88870.57,2020-08-25
56,Name_56,25.0,City_55,119243.33,2021-06-20
57,Name_57,26.0,City_56,45624.36,2022-10-19
58,Name_58,27.0,City_57,101961.86,2020-12-03
59,Name_59,28.0,City_58,89588.81,2021-12-24
60,Name_60,29.0,City_59,51997.78,2022-04-26
61,Name_61,30.0,City_60,32976.64,2020-07-26
62,Name_62,31.0,City_61,68037.24,unknown
63,Name_63,32.0,City_62,41796.19,2022-11-28
64,Name_64,33.0,City_63,118776.97,2020-06-16
65,Name_65,34.0,City_64,42765.45,2021-05-17
66,Name_66,35.0,City_65,37233.95,2022-03-28
67,Name_67,36.0,City_66,88713.8,2020-05-24
68,Name_68,37.0,City_67,77612.44,2021-12-04
69,Name_69,38.0,City_68,98856.5,2022-07-19
70,Name_70,39.0,City_69,92945.32,2020-05-11
71,Name_71,40.0,City_70,71187.47,2021-07-27
72,Name_72,41.0,City_71,68733.72,2022-11-05
73,Name_73,42.0,City_72,74358.49,2020-05-03
74,Name_74,43.0,City_73,36127.28,2021-03-26
75,Name_75,44.0,City_74,62637.62,2022-11-08
76,Name_76,45.0,City_75,98060.88,unknown
77,Name_77,46.0,City_76,78632.4,2021-01-04
78,Name_78,47.0,City_77,103930.54,2022-07-05
79,Name_79,,City_78,50507.43,2020-12-25
80,Name_80,49.0,City_79,86328.73,2021-07-16
81,Name_81,50.0,City_80,87265.94,2022-05-19
82,Name_82,51.0,City_81,35506.65,2020-11-25
83,Name_83,52.0,City_82,59875.34,2021-01-18
84,Name_84,53.0,,53288.73,2022-01-21
85,Name_85,54.0,City_84,33221.63,2020-02-19
86,Name_86,55.0,City_85,56978.82,2021-07-09
87,Name_87,56.0,City_86,62776.07,2022-10-06
88,Name_88,57.0,City_87,114941.88,2020-08-12
89,Name_89,58.0,City_88,69950.06,2021-10-19
90,Name_90,59.0,,60698.52,2022-11-16
91,Name_91,60.0,City_90,56952.28,2020-10-05
92,Name_92,61.0,City_91,55104.73,unknown
93,Name_93,62.0,City_92,N/A,unknown
94,Name_94,63.0,City_93,119127.81,2020-05-19
95,Name_95,,City_94,88309.77,2021-09-20
96,Name_96,65.0,City_95,N/A,2022-01-04
97,Name_97,66.0,City_96,45901.67,2020-01-05
98,Name_98,67.0,City_97,34636.94,2021-01-05
99,Name_99,68.0,City_98,71629.87,unknown
100,Name_100,69.0,City_99,73261.1,unknown
101,,,City_0,72837.85,2021-01-18
102,,21.0,,85004.29,2022-07-20
103,Name_103,22.0,,110831.38,2020-05-14
104,Name_104,23.0,City_3,57052.42,unknown
105,,24.0,City_4,110374.65,unknown
106,Name_106,25.0,City_5,71307.4,2020-08-12
107,Name_107,26.0,City_6,103559.29,2021-08-13
108,Name_108,27.0,City_7,45424.78,2022-07-20
109,Name_109,,City_8,107909.28,unknown
110,Name_110,29.0,City_9,58941.54,2021-09-18
111,Name_111,30.0,City_10,73398.96,2022-01-20
112,Name_112,31.0,City_11,76161.6,2020-12-04
113,Name_113,32.0,City_12,54344.02,2021-10-28
114,Name_114,33.0,City_13,56988.65,2022-04-15
115,Name_115,34.0,City_14,72599.79,2020-03-19
116,,35.0,City_15,83928.34,2021-02-07
117,,36.0,,56181.21,2022-05-01
118,Name_118,37.0,City_17,50833.0,2020-08-12
119,,38.0,City_18,N/A,unknown
120,Name_120,39.0,City_19,72413.32,2022-08-12
121,Name_121,,City_20,119638.9,2020-12-12
122,Name_122,41.0,City_21,80948.22,2021-11-16
123,Name_123,42.0,City_22,78758.98,2022-07-12
124,Name_124,43.0,City_23,48361.62,2020-12-05
125,Name_125,44.0,City_24,106601.57,unknown
126,Name_126,45.0,City_25,75323.01,2022-07-11
127,Name_127,46.0,City_26,112379.16,2020-10-22
128,Name_128,47.0,City_27,44248.81,2021-08-28
129,Name_129,48.0,City_28,71429.69,2022-08-16
130,Name_130,49.0,City_29,N/A,2020-02-18
131,Name_131,50.0,City_30,50721.41,2021-12-03
132,Name_132,51.0,City_31,71360.29,2022-01-23
133,Name_133,52.0,City_32,75059.85,2020-12-28
134,Name_134,53.0,City_33,102213.67,2021-05-14
135,Name_135,54.0,City_34,45778.08,2022-02-23
136,Name_136,55.0,City_35,84291.1,2020-01-11
137,Name_137,56.0,City_36,62903.84,2021-01-27
138,Name_138,57.0,City_37,90508.33,2022-07-15
139,Name_139,58.0,City_38,100122.23,2020-10-08
140,,59.0,City_39,87236.2,2021-10-04
141,Name_141,60.0,City_40,93091.96,2022-02-28
142,Name_142,61.0,,74730.09,2020-10-10
143,Name_143,62.0,City_42,107290.56,2021-02-11
144,Name_144,63.0,City_43,40475.92,2022-08-09
145,Name_145,64.0,City_44,43681.19,2020-11-05
146,Name_146,65.0,City_45,N/A,2021-01-16
147,Name_147,66.0,City_46,88353.67,2022-02-03
148,Name_148,67.0,City_47,101054.57,2020-01-26
149,Name_149,68.0,City_48,102810.49,2021-06-20
150,Name_150,69.0,City_49,56313.88,2022-01-23
151,Name_151,20.0,City_50,80312.93,2020-02-02
152,Name_152,21.0,City_51,82037.96,unknown
153,Name_153,22.0,City_52,80813.11,2022-08-22
154,Name_154,23.0,City_53,46304.08,2020-11-22
